district,commune_name,source_tax_year,adopted_year,valid_until_year,income_wealth_pct_base,special_pct,total_pct,commune_multiplier,property_tax_per_mille,communal_property_tax_rate,notes
District de Nyon,Mont-sur-Rolle,2026,2025,2026,62.0,0.0,62.0,0.620,1.00,0.00100,
District de Nyon,Nyon,2026,2023,2026,61.0,0.0,61.0,0.610,1.50,0.00150,
District de Nyon,Perroy,2026,2025,2026,60.5,0.0,60.5,0.605,1.30,0.00130,
District de Nyon,Prangins,2026,2025,2026,57.0,0.0,57.0,0.570,1.40,0.00140,
District de Nyon,Rolle,2026,2025,2026,59.5,0.0,59.5,0.595,1.00,0.00100,
District de Nyon,Saint-Cergue,2026,2025,2026,66.0,0.0,66.0,0.660,1.50,0.00150,
District de Nyon,Saint-George,2026,2025,2026,69.5,0.0,69.5,0.695,1.20,0.00120,
District de Nyon,Signy-Avenex,2026,2025,2026,58.0,0.0,58.0,0.580,1.00,0.00100,
District de Nyon,Tannay,2026,2025,2026,60.5,0.0,60.5,0.605,1.50,0.00150,
District de Nyon,Tartegnin,2026,2025,2026,79.0,0.0,79.0,0.790,1.00,0.00100,
District de Nyon,Trélex,2026,2025,2026,57.0,0.0,57.0,0.570,0.90,0.00090,
District de Nyon,Vich,2026,2024,2026,63.0,0.0,63.0,0.630,1.00,0.00100,
District de Nyon,Vinzel,2026,2025,2026,65.0,0.0,65.0,0.650,1.00,0.00100,
District de L'Ouest Lausannois,Bussigny,2026,2025,2026,62.5,0.0,62.5,0.625,1.25,0.00125,
District de L'Ouest Lausannois,Chavannes-près-Renens,2026,2023,2026,77.5,0.0,77.5,0.775,1.50,0.00150,
District de L'Ouest Lausannois,Crissier,2026,2022,2027,63.5,0.0,63.5,0.635,1.00,0.00100,
District de L'Ouest Lausannois,Ecublens,2026,2022,2027,62.5,0.0,62.5,0.625,1.20,0.00120,
District de L'Ouest Lausannois,Prilly,2026,2025,2027,72.5,0.0,72.5,0.725,1.30,0.00130,
District de L'Ouest Lausannois,Renens,2026,2024,2027,77.0,0.0,77.0,0.770,1.40,0.00140,
District de L'Ouest Lausannois,Saint-Sulpice,2026,2025,2026,55.0,0.0,55.0,0.550,0.80,0.00080,
District de L'Ouest Lausannois,Villars-Sainte-Croix,2026,2023,2026,60.5,0.0,60.5,0.605,1.00,0.00100,
District Riviera-Pays D'Enhaut,Blonay - Saint-Légier,2026,2024,2026,67.5,0.0,67.5,0.675,1.00,0.00100,
District Riviera-Pays D'Enhaut,Chardonne,2026,2025,2026,68.0,0.0,68.0,0.680,1.00,0.00100,
District Riviera-Pays D'Enhaut,Château-d'Oex,2026,2025,2027,79.5,2.0,81.5,0.815,1.50,0.00150,
District Riviera-Pays D'Enhaut,Corseaux,2026,2025,2026,67.5,0.0,67.5,0.675,1.00,0.00100,
District Riviera-Pays D'Enhaut,Corsier-sur-Vevey,2026,2025,2026,64.5,0.0,64.5,0.645,1.20,0.00120,
District Riviera-Pays D'Enhaut,Jongny,2026,2023,2025,69.5,0.0,69.5,0.695,1.20,0.00120,Ancien arrêté prorogé de plein droit (Art. 35 LICom)
District Riviera-Pays D'Enhaut,La Tour-de-Peilz,2026,2023,2024,62.5,1.5,64.0,0.640,1.20,0.00120,Ancien arrêté prorogé de plein droit (Art. 35 LICom)
District Riviera-Pays D'Enhaut,Montreux,2026,2025,2027,65.0,0.0,65.0,0.650,1.50,0.00150,
District Riviera-Pays D'Enhaut,Rossinière,2026,2025,2026,81.0,0.0,81.0,0.810,1.50,0.00150,
District Riviera-Pays D'Enhaut,Rougemont,2026,2025,2026,79.0,0.0,79.0,0.790,1.50,0.00150,
District Riviera-Pays D'Enhaut,Vevey,2026,2025,2026,74.5,0.0,74.5,0.745,1.50,0.00150,
District Riviera-Pays D'Enhaut,Veytaux,2026,2024,2026,65.0,0.0,65.0,0.650,1.50,0.00150,
